Time,Incidence
0.000000,0
0.333333,0
0.666667,0
1.000000,0
1.333333,0
1.666667,0
2.000000,0
2.333333,0
2.666667,0
3.000000,0
3.333333,0
3.666667,0
4.000000,0
4.333333,0
4.666667,0
5.000000,0
5.333333,0
5.666667,0
6.000000,0
6.333333,0
6.666667,0
7.000000,0
7.333333,0
7.666667,0
8.000000,0
8.333333,0
8.666667,0
9.000000,0
9.333333,0
9.666667,0
10.000000,1
10.333333,0
10.666667,0
11.000000,0
11.333333,0
11.666667,0
12.000000,0
12.333333,0
12.666667,0
13.000000,0
13.333333,0
13.666667,0
14.000000,0
14.333333,0
14.666667,0
15.000000,0
15.333333,0
15.666667,0
16.000000,0
16.333333,0
16.666667,0
17.000000,0
17.333333,0
17.666667,0
18.000000,0
18.333333,0
18.666667,0
19.000000,0
19.333333,0
19.666667,0
20.000000,0
